dataset,id,question,question_type,expected_behavior,expected_answer,expected_answer_regex,required_phrases,gold_evidence_labels,cannot_answer,answer_text,answer_citations,has_citations,citation_validity,citation_overlaps_gold_evidence,verification_passed,pass_overall_full,pass_overall_retrieval,pass_refusal_rule,pass_citation_rule,pass_expected_doc_rule,pass_evidence_recall_rule,pass_expected_value_rule,pass_citation_overlap_rule,pass_verification_rule,context_precision_doc,context_recall_doc,context_precision_ranked_full,context_precision_ranked_retrieval,evidence_recall_at_k_full,evidence_recall_at_k_retrieval,evidence_mrr_full,evidence_mrr_retrieval,evidence_ndcg_at_k_full,evidence_ndcg_at_k_retrieval,evidence_coverage_full,evidence_coverage_retrieval,evidence_recall_before_rerank,evidence_recall_after_rerank,reranker_dropped_evidence,retrieval_contains_expected_value,retrieval_contains_required_phrases,answer_matches_expected_value,corpus_contains_expected_value,corpus_contains_required_phrases,retrieval_missed_existing_value
gold,g001,What is the policy group for the Data Protection - Employees policy?,metadata,answer,Employees,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The policy group is Employees.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g002,What is the responsible committee for the Data Protection - Employees policy?,metadata,answer,PERSONNEL,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g003,What is the 'Last updated' month/year for the Data Protection - Employees policy?,metadata,answer,03/2024,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The last updated is 11.03.2025.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
gold,g004,What is the next review date guidance for the Data Protection - Employees policy?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+(?:as|if)\s+required(?:\s+by\s+legislation)?\b,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The review frequency is Annual or if required by legislation.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g005,What is the policy group for the Equality & Diversity Policy?,metadata,answer,Employees,,,docs/txt/Equality_Diversity.txt:1-120,False,The policy group is Employees.[docs/txt/Equality_Diversity.txt:1-100],docs/txt/Equality_Diversity.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g006,What is the responsible committee for the Equality & Diversity Policy?,metadata,answer,PERSONNEL,,,docs/txt/Equality_Diversity.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Equality_Diversity.txt:1-100],docs/txt/Equality_Diversity.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g007,What is the 'Last updated' month/year for the Equality & Diversity Policy?,metadata,answer,03/2024,,,docs/txt/Equality_Diversity.txt:1-120,False,The last updated is 11.03.2025.[docs/txt/Equality_Diversity.txt:1-100],docs/txt/Equality_Diversity.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
gold,g008,What is the next review date guidance for the Equality & Diversity Policy?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+as\s+required\b,,docs/txt/Equality_Diversity.txt:1-120,False,The review frequency is Annual or as required.[docs/txt/Equality_Diversity.txt:1-100],docs/txt/Equality_Diversity.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g009,What is the policy group for the Provision of IT Equipment & Acceptable Use policy?,metadata,answer,Employees/Members,,,docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-120,False,The policy group is Employees/Members.[docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100],docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g010,What is the 'Last updated' month/year for the Provision of IT Equipment & Acceptable Use policy?,metadata,answer,03/2025,,,docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-120,False,The last updated is 03.04.2025.[docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100],docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
